LOC_ID,REGION,PROVINCE,CITY,TOWN
L40768,CAR,ABRA,,LUBA,Barit,Dg0040768,R040768,572,
L40769,CAR,ABRA,,LUBA,Gayaman,Dg0040769,R040769,1020,
L40770,CAR,ABRA,,LUBA,Lul-luno,Dg0040770,R040770,379,
L40771,CAR,ABRA,,LUBA,Luzong,Dg0040771,R040771,920,
L40772,CAR,ABRA,,LUBA,Nagbukel-Tuquipa,Dg0040772,R040772,534,
L40773,CAR,ABRA,,LUBA,Poblacion,Dg0040773,R040773,1128,
L40774,CAR,ABRA,,LUBA,Sabnangan,Dg0040774,R040774,661,
L40775,CAR,ABRA,,MALIBCONG,,Dg0040775,R040775,3807,
L40776,CAR,ABRA,,MALIBCONG,Bayabas,Dg0040776,R040776,218,
L40777,CAR,ABRA,,MALIBCONG,Binasaran,Dg0040777,R040777,191,
L40778,CAR,ABRA,,MALIBCONG,Buanao,Dg0040778,R040778,345,
L40779,CAR,ABRA,,MALIBCONG,Dulao,Dg0040779,R040779,223,
L40780,CAR,ABRA,,MALIBCONG,Duldulao,Dg0040780,R040780,362,
L40781,CAR,ABRA,,MALIBCONG,Gacab,Dg0040781,R040781,433,
L40782,CAR,ABRA,,MALIBCONG,Lat-ey,Dg0040782,R040782,203,
L40783,CAR,ABRA,,MALIBCONG,Malibcong (Pob.),Dg0040783,R040783,567,
L40784,CAR,ABRA,,MALIBCONG,Mataragan,Dg0040784,R040784,526,
L40785,CAR,ABRA,,MALIBCONG,Pacgued,Dg0040785,R040785,229,
L40786,CAR,ABRA,,MALIBCONG,Taripan,Dg0040786,R040786,232,
L40787,CAR,ABRA,,MALIBCONG,Umnap,Dg0040787,R040787,278,
L40788,CAR,ABRA,,MANABO,,Dg0040788,R040788,10756,
L40789,CAR,ABRA,,MANABO,Catacdegan Viejo,Dg0040789,R040789,473,
L40790,CAR,ABRA,,MANABO,Luzong,Dg0040790,R040790,1031,
L40791,CAR,ABRA,,MANABO,Ayyeng,Dg0040791,R040791,1567,
L40792,CAR,ABRA,,MANABO,San Jose Norte,Dg0040792,R040792,604,
L40793,CAR,ABRA,,MANABO,San Jose Sur,Dg0040793,R040793,535,
L40794,CAR,ABRA,,MANABO,San Juan Norte,Dg0040794,R040794,632,
L40795,CAR,ABRA,,MANABO,San Juan Sur,Dg0040795,R040795,724,
L40796,CAR,ABRA,,MANABO,San Ramon East,Dg0040796,R040796,2185,
L40797,CAR,ABRA,,MANABO,San Ramon West,Dg0040797,R040797,1960,
L40798,CAR,ABRA,,MANABO,Santo Tomas,Dg0040798,R040798,445,
L40799,CAR,ABRA,,MANABO,Catacdegan,Dg0040799,R040799,600,
L40800,CAR,ABRA,,PEÑARRUBIA,,Dg0040800,R040800,6544,
L40801,CAR,ABRA,,PEÑARRUBIA,Dumayco,Dg0040801,R040801,1102,
L40802,CAR,ABRA,,PEÑARRUBIA,Lusuac,Dg0040802,R040802,1053,
L40803,CAR,ABRA,,PEÑARRUBIA,Namarabar,Dg0040803,R040803,548,
L40804,CAR,ABRA,,PEÑARRUBIA,Patiao,Dg0040804,R040804,608,
L40805,CAR,ABRA,,PEÑARRUBIA,Malamsit (Pau-Malamsit),Dg0040805,R040805,640,
L40806,CAR,ABRA,,PEÑARRUBIA,Poblacion,Dg0040806,R040806,994,
L40807,CAR,ABRA,,PEÑARRUBIA,Riang (Tiang),Dg0040807,R040807,810,
L40808,CAR,ABRA,,PEÑARRUBIA,Santa,Dg0040808,R040808,382,
L40809,CAR,ABRA,,PEÑARRUBIA,Tattawa,Dg0040809,R040809,407,
